title,company,location
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt"
Senior AI Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt"
Research Engineer,Enoshsciense Research Center -,"New Cairo, Cairo, Egypt"
AI Agent Developer,Confidential -,"Heliopolis, Cairo, Egypt"
Senior AI Vision Engineer – Computer Vision & Edge Deployment,Skarpt Company  -,"6th of October, Giza, Egypt"
Artificial Intelligence Engineer (NLP),DIRAC SYSTEMS -,"Heliopolis, Cairo, Egypt"
AI Trainer.,Avanguard -,"New Cairo, Cairo, Egypt"
Cloud Infrastructure Engineer,34ML -,"Heliopolis, Cairo, Egypt"
Fresh Electrical PLC & Planning Maintenace Engineer,Modern Hygienic international -,"Ain Sokhna, Suez, Egypt"
AI Engineer,Quantanite -,"Maadi, Cairo, Egypt"
AI Solutions Architect,Get AI Driven -,"Cairo, Egypt"
AI & Software Trainer,compsoft -,"Giza, Egypt"
Learning & Development Manager,Raffles Hotels & Resorts -,"Makkah, Saudi Arabia"
Research Scientist (AI) - Interactome,GenBio AI -,"Dubai, United Arab Emirates"
"Senior Data Scientist - QuantumBlack, AI by McKinsey","QuantumBlack, AI by McKinsey -","Riyadh, Saudi Arabia"
Junior Technical Support Engineer – Fresh Graduates Program,Confidential -,"New Cairo, Cairo, Egypt"
Senior Data Engineer,Erada -,"Maadi, Cairo, Egypt"
"Data Scientist II - Analysis, Lifecycle",talabat -,"Dubai, United Arab Emirates"
"Data Scientist, Business",The Rundown AI -,"Dubai, United Arab Emirates"
Mechatronics Engineer (extensive experience).,Vceram -,"Dokki, Giza, Egypt"
Telesales Representative,Confidential -,"Riyadh, Saudi Arabia"
Data Governance Engineer,MOBILY INFOTECH LTD INDIA -,"Cairo, Egypt"
Maintenance & Installation Engineer - Beni Suef | Minia | Sohag | Assiut | Qena,FinWay Tech -,"Sohag, Sohag, Egypt"
Maintenance & Installation Engineer - Beni Suef | Minia | Sohag | Assiut | Qena - 2,FinWay Tech -,"Assuit, Assiut, Egypt"
Data Scientist,HYVE Technology Consulting  -,"Cairo, Egypt"
Growth Marketing Specialist,Confidential -,"Madrid, Spain"
AI Engineering Manager,Link Development -,"Cairo, Egypt"
Technical Sales Manager,Etkaan  -,"Hadayek Alahram, Giza, Egypt"
Sales & Marketing Executive,Areej for printing machines -,"Heliopolis, Cairo, Egypt"
Senior Devops Engineer,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt"
